cond;etac;lg;catpri18;COUNT;PERCENT;DURM;MX;MN;SD
1;2;03;4.1.1;4;0.07476635514018691;00:35:00.004000;00:49:59.998000;00:09:59.996000;00:19:08.913000
1;2;03;3.3.1;3;0.05607476635514018;00:26:39.998000;01:00:00.003000;00:09:59.996000;00:28:52.052000
1;2;03;3.2.3;2;0.037383177570093455;02:35:00.001000;02:39:59.999000;02:30:00.003000;00:07:04.267000
1;2;03;3.2.9;2;0.037383177570093455;00:09:59.996000;00:09:59.996000;00:09:59.996000;00:00:00
1;2;03;3.3.2;2;0.037383177570093455;00:45:00;01:00:00.003000;00:29:59.997000;00:21:12.793000
1;2;03;3.5.4;2;0.037383177570093455;00:09:59.996000;00:09:59.996000;00:09:59.996000;00:00:00
1;2;03;4.2.2;2;0.037383177570093455;00:54:59.996000;01:39:59.996000;00:09:59.996000;01:03:38.379000
1;2;04;0.3.1;188;24.44733420026008;00:15:19.149000;01:00:00.003000;00:09:59.996000;00:09:05.918000
1;2;04;0.1.1;137;17.815344603381014;03:18:19.267000;09:00:00;00:09:59.996000;01:51:00.913000
1;2;04;0.2.1;126;16.384915474642394;00:36:11.431000;02:50:00.004000;00:09:59.996000;00:26:29.907000
1;2;04;3.2.4;36;4.681404421326398;00:16:40.002000;00:49:59.998000;00:09:59.996000;00:10:25.182000
1;2;04;8.2.1;35;4.551365409622887;00:47:59.997000;01:59:59.997000;00:09:59.996000;00:31:25.049000
1;2;04;3.8.1;33;4.291287386215865;00:20:36.367000;01:00:00.003000;00:09:59.996000;00:11:26.396000
1;2;04;5.3.1;32;4.161248374512353;00:52:11.248000;02:30:00.003000;00:09:59.996000;00:40:17.999000
1;2;04;5.1.9;29;3.771131339401821;00:35:10.346000;02:10:00.002000;00:09:59.996000;00:37:51.300000
1;2;04;3.1.1;25;3.2509752925877766;00:18:00;01:00:00.003000;00:09:59.996000;00:13:32.402000
